NAME;FAVOR;ZONE;ACTIVATION_ID;CORRUPTUS1;NEUTRAL;ANOMALIS1;ANOMALIS2;ANOMALIS3
Jane Austen;-11;Lletres;BNORD2;Només aquells que decideixen sacrificar altres aspectes de la seva vida en pro de la cultura haurien de tenir-hi accés. Al cap i a la fi és decisió de cadascú com inverteix els seus béns en pro de les seves decisions. Mentalitat agressiva. ;La dona com a entitat dins la societat està sent menyspreada i menystinguda només per no permetre’ns créixer i expressar-nos. Vull fer obres literàries que reflexin aquestes idees perquè més dones entenguin quina repressió pateixen sense que ho vegin. ;Només la cultura ens farà lliures de les presons mentals que tenim. Cal que tothom pugui entendre i pensar de forma crítica. L’evolució está en la possibilitat de compartir pensaments. ;;
William Shakespeare;-4;Lletres;BNORD1;Ai el cor encongit, ai quin patiment més gran. Finalment vaig aconseguir completar la meva prima òpera i… Ai quina desgràcia, quina maledicció de l’univers. Just quan esperaba sentir la gran clamor dels aplaudiments, el fervor del públic i l’amor dels seus colpejos, només vaig escoltar tomàquets, blats i cols esclatats contra l’escenari. ;La meva primera obra ha estat tot un èxit! Tinc tres comandes més per finals de més. Quanta feina, quant de goig! Les idees floreixen al meu cap i s’enfilen pel paper com un boig enamorat visitant d’amagat a la seva enamorada. Wait a minute… ;Gràcies a la meravellosa substància de l’opi, que treu de mals pensaments al soldat més tarat, vaig aconseguir dormir ahir. Quin somni, quin somni! Quin somni més meravellós i inspirador vaig tenir! La ploma llisca com si la fulla fos un llac glaçat. Veig les estrelles, éssers verds que volen en carruatges però que no són remolcats per cap bèstia. Quina meravella, quina fantasía. A aquesta obra li diré: Història de les Estrelles. ;;
Sigmund Freud;-4;Psicologia;BCEN2;Trobo un patró repetitiu en tots els meus pacients. Si bé els somnis desxifren l’inconscient, i l’inconscient mostra les vertaderes pulsions de l’individu: PERQUÈ REDIANTRES TOTHOM SOMIA QUE FOLLA AMB SE MARE? ;Els nens estan molt mal educats. Des de l’infantesa els hi prohibeixen sentir plaer sexual, els reprimeixen! Normal que surtin amb traumes. Però mentre jo tingui gent a la consulta… tampoc ens queixarem. ;L’hipnosis és meravellosa! Tots els aristòcrates del país em porten als seus fills a les sessions per a que els faci “més llestos”. Jo l’únic que faig és llegir-los el llibre de matemàtiques durant un periode d’hipnòsi i prou hahahah. Ximplets! ;;
Virginia Satir;5;Psicologia;BCEN1;Ser mare és una lacra. Ningú hauria de tenir fills sino s’està bé per tenir-los. Aquí la gent els té per caprici, com mascotes. No seré jo, sóc conscient dels meus problemes emocionals i no vull traspassar-los a ningú més. ;Sovint penso en els meus pares i les coses que van fer malament. Els pobres no sabien com fer-ho millor tampoc, ningú els hi havia ensenyat... ;He llogat una gran casa rural a les afores de la ciutat. Està perduda en mig d’un camp, però crec que aviat serà habitable. Ja veig els animals i els nens jugant al jardí. ;;
Marco Polo;-3;Economia;BSUD2;M’he casat amb la dona dels meus somnis. La meva familia de casa era pur teatre, el procediment que s’ha de seguir per a ser un home honrat. De res em serveix l’honradesa si tinc amor a la meva vida. Li he dit a la tripulació que els hi digui a la familia que he mort durant el camí, i aquí em quedaré vivint fins la resta dels meus dies. ;El coneixement que he adquirit en els meus diaris ha de ser escrit en llibres i ser passat generació rere generació. ;Què fàcil sería viatjar si poguessim volar, seria molt menys cansat i arribariem molt més lluny sense passar per una situació tan perillosa com creuar una muntanya o el mar mediterrani. ;;
Rosa Parks;-3;Dret;BSUD1;Quina desgràcia. Jo només volia aixecar-me, no causar cap problema i aixecar-me. Però li vaig donar un cop al cap a l’home blanc que m’increpava, va ser sense voler, ho prometo! La cosa es que l’home ja no té llengua, què em podrà passar ara a mi? ;Estar asseguda a l’autobús, una dóna gran com jo, hauria de ser prioritari. Els blancs posen unes lleis per diferenciar-nos ben absurdes, i jo les penso trencar totes. ;Sempre que hem parlat de la lluita antiracista s’ha dit que ens hem d’aixecar. Quants anys ens haguéssim estalviat si ens haguéssim mantinguts asseguts xD. Asseure’s és el moviment més poderós! ;;
Spiridon Louis;3;SAF;SAF2;avui un home molt estrany m’ha demanat si volia correr 42km en nom de Grècia, quina bajanada... Me n’he anat a casa. ;Un home estrany m’ha proposat correr 42km en nom de Grècia, el premi és bastant suculent ngl. ;D’ençà que vaig guanyar la marató, venen molts estranys per casa per fer-me proves físiques. Quin incordi. ;;
Hélène de Pourtalès;4;SAF;SAF1;M’he separat del meu marit, no podia soportar que tingués una altra dedicació que no cuidar-li la casa... ;Entrenar cada dia és molt dur, però quedar-me a casa sense fer res encara més. ;Després de la meva victòria, m’han dedicat temples i pregàries de tots els tipus. Ara mateix, em presento com a presidenta del COI amb l’objectiu de demostrar la superioritat de la raça femenina davant la masculina als esport i qualsevol altre àmbit. ;;
Mirna Tartel;14;Civica;ANOMA1;ERROR;Has intentat contactar amb Mirna Tartle. En aquests moments no et puc atendre. Per qualsevol cosa, vina a veure'm al punt d'unió d'Anomalis :);Has intentat contactar amb Mirna Tartle. En aquests moments no et puc atendre. Per qualsevol cosa, vina a veure'm al punt d'unió d'Anomalis :);;
René Grajé;-14;Civica;CORRU1;Has intentat contactar amb René Grajée. En aquests moments no et puc atendre. Per qualsevol cosa, vine a veure'm al punt d'unió de Corruptus :);Has intentat contactar amb René Grajée. En aquests moments no et puc atendre. Per qualsevol cosa, vine a veure'm al punt d'unió de Corruptus :);ERROR;;
